"index","opportunity_id","n_conversations","timestamp","company","gender","type","total_amount","status","status_update_timestamp","default_lang","discount_codes","actual_order_items","source","product_ids","raw_order_items","raw_actual_order_items","parsing_errors"
"385","ab25f877-0d3d-4ab0-829f-16059d1d770c",1,"2025-03-15 4:45:06","Company A","female","Abandoned Cart","530.25","ClosedWon","2025-05-02 0:10:06","he","{'code': 'DANIELAMIT25', 'amount': '176.75', 'type': 'percentage'}","NULL","NULL","['1391958392893', '6736320463006', '4598299000971', '7835552252062', '5389149634718']","""[{product_id"": 1391958392893,item_id: ""n/a""},{""product_id"": 6736320463006,item_id: ""n/a""},{""product_id"": 4598299000971,item_id: ""n/a""},{""product_id"": 7835552252062,item_id: ""n/a""},{""product_id"": 5389149634718,item_id: ""n/a""}]"",530.25""","[{product_id"": ""6958786969758""title: ""מגן מזרן Poly Jersey""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"386","dc7798b4-caa4-47cd-b223-3b057f08ff71",0,"2025-03-15 5:54:32","Company A","female","Abandoned Cart","177.12","ClosedWon","2025-03-16 14:33:46","he","{'code': 'Custom discount', 'amount': '87.68', 'type': 'fixed_amount'}","NULL","NULL","[]","""[{item_id"": ""32903702478987"",product_id: ""4670612635787"",title: ""טופר פנדה פרימיום"",item_title: ""80*190"",price: ""549.00"",country: ""IL""}]"",177.12""","[{product_id"": ""4670612635787""title: ""טופר פנדה פרימיום""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"387","08b13299-922c-4283-b915-239c298bd8e8",1,"2025-03-15 6:21:01","Company A","female","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""40942312784030"",product_id: ""7006870372510"",title: ""זוג כריות היברידיות"",item_title: ""None"",price: ""449.00"",country: ""IL""},{""item_id"": ""32554115432587"",product_id: ""4598299000971"",title: ""מזרן פנדה פרימיום"",item_title: ""160*200"",price: ""5199.00"",country: ""IL""},{""item_id"": ""32554115301515""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""32554115301515""'}"
"388","8a2871ac-c282-47e7-ad9c-a667538c2215",1,"2025-03-15 7:58:37","Company A","male","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""42828403671198"",product_id: ""7563696210078"",title: ""מצעי פלנל SunWashed"",item_title: ""160*200 מיטה זוגית / חמרה"",price: ""209.00"",country: ""IL""},{""item_id"": ""43034138214558"",product_id: ""7626475241630"",title: ""סט מגבות פרימיום גדולות"",item_title: ""מנטה / 70*140 גדולות"",price: ""199.00"",country: ""IL""},{""item_id"": ""44004324212894""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""44004324212894""'}"
"389","cefc3562-95b5-471b-9139-a768da955c6f",0,"2025-03-15 9:39:35","Company A","female","Abandoned Cart","206.7","ClosedWon","2025-04-19 11:22:19","NULL","NULL","['1391958392893', '6736320463006', '4598299000971', '5389149634718', '7835552252062', '1391960064061', '4670612635787']","""[{product_id"": 1391958392893,item_id: ""n/a""},{""product_id"": 6736320463006,item_id: ""n/a""},{""product_id"": 4598299000971,item_id: ""n/a""},{""product_id"": 5389149634718,item_id: ""n/a""},{""product_id"": 7835552252062,item_id: ""n/a""},{""product_id"": 1391960064061,item_id: ""n/a""},{""product_id"": 4670612635787,item_id: ""n/a""}]"",206.7""","he{'code': 'SHAHAROREN35', 'amount': '111.30', 'type': 'percentage'}","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}","",""
"390","d1615ad6-1cf1-497c-b242-e80c6e0566bc",0,"2025-03-15 11:50:32","Company A","male","Abandoned Cart","901.32","NULL","NULL","['7248873652382', '5960910930078', '7394631418014', '7563696210078', '7322622820510', '7514416644254', '7039286182046', '7267391504542']","""[{product_id"": 7248873652382,item_id: ""n/a""},{""product_id"": 5960910930078,item_id: ""n/a""},{""product_id"": 7394631418014,item_id: ""n/a""},{""product_id"": 7563696210078,item_id: ""n/a""},{""product_id"": 7322622820510,item_id: ""n/a""},{""product_id"": 7514416644254,item_id: ""n/a""},{""product_id"": 7039286182046,item_id: ""n/a""},{""product_id"": 7267391504542,item_id: ""n/a""}]"",901.32""","ClosedWon2025-03-26 11:18:02","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}","","","",""
"391","1724ffa1-a8db-48e0-b39c-d33027fdb232",1,"2025-03-15 13:00:37","Company A","female","Abandoned Cart","1083.55","ClosedWon","2025-03-20 17:22:40","he","{'code': 'DANIELAMIT35', 'amount': '583.45', 'type': 'percentage'}","NULL","NULL","[]","""[{item_id"": ""34961163976862"",product_id: ""5389149634718"",title: ""מזרן פנדה ג'וניור"",item_title: ""90*190"",price: ""1499.00"",country: ""IL""},{""item_id"": ""37141772435614"",product_id: ""5960910930078"",title: ""מצעי SunWashed"",item_title: ""90*200 יחיד / חאקי"",price: ""219.00"",country: ""IL""}]"",1083.55""","[{product_id"": ""7870105551006""title: ""סט מצעי ג'רסי""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"392","20f994b8-8de4-4c94-87e0-b933e445a42e",1,"2025-03-15 13:43:03","Company A","female","Abandoned Cart","1467.9","ClosedWon","2025-04-20 9:37:32","he","{'code': 'MIMUNA', 'amount': '629.10', 'type': 'percentage'}","NULL","NULL","[]","""[{item_id"": ""41951521046686"",product_id: ""5389149634718"",title: ""מזרן פנדה ג'וניור"",item_title: ""70*130"",price: ""599.00"",country: ""IL""}]"",1467.9""","[{product_id"": ""5389149634718""title: ""מזרן פנדה ג'וניור""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"393","21dce6ac-d2b2-451a-97d6-53203a32b3d6",2,"2025-03-15 15:23:32","Company A","male","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","['7232325877918', '6771730219166', '7498616438942', '7521201750174', '7440410443934', '7006870372510', '7715530473630']","""[{product_id"": 7232325877918,item_id: ""n/a""},{""product_id"": 6771730219166,item_id: ""n/a""},{""product_id"": 7498616438942,item_id: ""n/a""},{""product_id"": 7521201750174,item_id: ""n/a""},{""product_id"": 7440410443934,item_id: ""n/a""},{""product_id"": 7006870372510,item_id: ""n/a""},{""product_id"": 7715530473630""","NULL","{'suffix': 'failed', 'suffix_data': '{""product_id"": 7715530473630'}"
"394","37e21ace-e9d7-4e31-a1ab-36a78b628a97",1,"2025-03-15 15:44:34","Company A","female","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""43034115080350"",product_id: ""7626466951326"",title: ""סט מגבות פרימיום ענקיות"",item_title: ""לבן / 90*150 ענקיות"",price: ""259.00"",country: ""IL""},{""item_id"": ""40782430142622"",product_id: ""6958786969758"",title: ""מגן מזרן Poly Jersey"",item_title: ""160*200"",price: ""189.00"",country: ""IL""},{""item_id"": ""42363368210590""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""42363368210590""'}"
"395","2fdad535-525c-4108-b959-4908ba4244d6",1,"2025-03-15 17:54:37","Company A","female","Abandoned Cart","400.1","ClosedWon","2025-03-26 20:53:18","he","{'code': 'YY-L6D2SECF', 'amount': '398.90', 'type': 'fixed_amount'}","NULL","NULL","[]","""[{item_id"": ""43366091784350"",product_id: ""7715530473630"",title: ""זוג שידות Natural לחדר השינה"",item_title: ""Wallnut"",price: ""1399.00"",country: ""IL""},{""item_id"": ""44196963025054"",product_id: ""8034414100638"",title: ""שטיח פנדה אבסטרקט"",item_title: ""230*160 ס\""מ / אפור בהיר"",price: ""719.00"",country: ""IL""}]"",400.1""","[{product_id"": ""8034414100638""title: ""שטיח פנדה אבסטרקט""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"396","82632529-663f-4b7f-9811-57224ba463b8",1,"2025-03-15 17:59:32","Company A","male","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""37141772370078"",product_id: ""5960910930078"",title: ""מצעי SunWashed"",item_title: ""160*200 מיטה זוגית / לבן שמנת"",price: ""259.00"",country: ""IL""},{""item_id"": ""40782429028510"",product_id: ""6958786969758"",title: ""מגן מזרן Poly Jersey"",item_title: ""120*200"",price: ""159.00"",country: ""IL""},{""item_id"": ""37141772337310""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""37141772337310""'}"
"397","d2d93c67-224e-4bf9-b424-86f19018ac8c",0,"2025-03-15 18:09:33","Company A","female","Abandoned Cart","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[]","""[{item_id"": ""42615843520670"",product_id: ""7394631418014"",title: ""מצעי SunWashed לתינוקות"",item_title: ""כחול נייבי / 70*140 תינוקות ומעבר"",price: ""199.00"",country: ""IL""},{""item_id"": ""34961163976862"",product_id: ""5389149634718"",title: ""מזרן פנדה ג'וניור"",item_title: ""90*190"",price: ""1499.00"",country: ""IL""},{""item_id"": ""42264335319198""""","NULL","{'order_items': 'raw_order_items contain unexpected data', 'suffix': 'failed', 'suffix_data': '{""item_id"": ""42264335319198""'}"
"398","f90bdb19-524d-49bc-8748-126e3c6783d5",0,"2025-03-15 18:36:32","Company A","female","Abandoned Cart","249","ClosedWon","2025-03-27 21:41:12","he","{'code': 'INI', 'amount': '249.00', 'type': 'percentage'}","NULL","NULL","[]","""[{item_id"": ""13969629478973"",product_id: ""1391958392893"",title: ""מזרן פנדה קלאסי"",item_title: ""140*200"",price: ""3199.00"",country: ""IL""}]"",249""","[{product_id"": ""1391961145405""title: ""כרית פנדה היברידית""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"399","abd12caa-274f-4808-9f6f-62bb8277e643",1,"2025-03-15 20:18:08","Company A","female","Abandoned Cart","4161.75","ClosedWon","2025-03-17 20:13:42","he","{'code': 'Football', 'amount': '1387.25', 'type': 'percentage'},{'code': 'VFF3F3SYD17C', 'amount': '150.00', 'type': 'fixed_amount'}","NULL","NULL","[]","""[{item_id"": ""40782432436382"",product_id: ""6958786969758"",title: ""מגן מזרן Poly Jersey"",item_title: ""180*200"",price: ""199.00"",country: ""IL""},{""item_id"": ""32554115465355"",product_id: ""4598299000971"",title: ""מזרן פנדה פרימיום"",item_title: ""180*200"",price: ""5699.00"",country: ""IL""}]"",4161.75""","[{product_id"": ""4598299000971""title: ""מזרן פנדה פרימיום""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
"400","58e49023-8f20-4694-a12b-e38558ac1d79",1,"2025-03-15 20:23:02","Company A","female","Abandoned Cart","3184.35","ClosedWon","2025-04-19 18:28:14","he","{'code': 'KEREN35', 'amount': '1714.65', 'type': 'percentage'}","NULL","NULL","['6736320463006', '4598299000971', '1391958392893']","""[{product_id"": 6736320463006,item_id: ""n/a""},{""product_id"": 4598299000971,item_id: ""n/a""},{""product_id"": 1391958392893,item_id: ""n/a""}]"",3184.35""","[{product_id"": ""4598299000971""title: ""מזרן פנדה פרימיום""","{'order_items': 'raw_order_items contain unexpected data', 'actual_order_items': 'failed'}"
